Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,asymmetric,0.9099999999999999,0.5356975746280948
100% Corpus,4,asymmetric,symmetric,0.38335970934861907
100% Corpus,5,0.01,0.01,0.34597389910386134
100% Corpus,5,0.01,0.31,0.3508876635978263
100% Corpus,5,0.01,0.61,0.38925280020141656
100% Corpus,5,0.01,0.9099999999999999,0.4242764367000998
100% Corpus,5,0.01,symmetric,0.354821853351324
100% Corpus,5,0.31,0.01,0.3233738279357766
100% Corpus,5,0.31,0.31,0.33002015844320726
100% Corpus,5,0.31,0.61,0.34739650716940634
100% Corpus,5,0.31,0.9099999999999999,0.4060883393947968
100% Corpus,5,0.31,symmetric,0.33149082180573364
100% Corpus,5,0.61,0.01,0.3058749707002101
100% Corpus,5,0.61,0.31,0.32118431981401263
100% Corpus,5,0.61,0.61,0.3143143277870431
100% Corpus,5,0.61,0.9099999999999999,0.3332890316315333
100% Corpus,5,0.61,symmetric,0.29859519194472917
100% Corpus,5,0.9099999999999999,0.01,0.2980305770640986
100% Corpus,5,0.9099999999999999,0.31,0.30626042463245656
100% Corpus,5,0.9099999999999999,0.61,0.2944176916658575
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.32527969497107145
100% Corpus,5,0.9099999999999999,symmetric,0.30265409656890424
100% Corpus,5,symmetric,0.01,0.3756736739306443
100% Corpus,5,symmetric,0.31,0.34543901171084673
100% Corpus,5,symmetric,0.61,0.40231220466593054
100% Corpus,5,symmetric,0.9099999999999999,0.4488532675311685
100% Corpus,5,symmetric,symmetric,0.3496940994537575
100% Corpus,5,asymmetric,0.01,0.3440836388355812
100% Corpus,5,asymmetric,0.31,0.44399135277752455
100% Corpus,5,asymmetric,0.61,0.5468823282955906
100% Corpus,5,asymmetric,0.9099999999999999,0.5604611114775573
100% Corpus,5,asymmetric,symmetric,0.382537041987142
100% Corpus,6,0.01,0.01,0.3693364610706378
100% Corpus,6,0.01,0.31,0.3278920559050195
100% Corpus,6,0.01,0.61,0.4103080917599781
100% Corpus,6,0.01,0.9099999999999999,0.4215600081886925
100% Corpus,6,0.01,symmetric,0.3324886799229268
100% Corpus,6,0.31,0.01,0.3341329462216309
100% Corpus,6,0.31,0.31,0.3104676606704696
100% Corpus,6,0.31,0.61,0.3593329137967301
100% Corpus,6,0.31,0.9099999999999999,0.4059044012782798
100% Corpus,6,0.31,symmetric,0.34601455969183637
100% Corpus,6,0.61,0.01,0.3004553534224346
100% Corpus,6,0.61,0.31,0.3198666112724348
100% Corpus,6,0.61,0.61,0.3144701731891498
100% Corpus,6,0.61,0.9099999999999999,0.32899489869864534
100% Corpus,6,0.61,symmetric,0.30686447989817606
100% Corpus,6,0.9099999999999999,0.01,0.31170204319127714
100% Corpus,6,0.9099999999999999,0.31,0.3038342393003003
100% Corpus,6,0.9099999999999999,0.61,0.3146022224581344
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3358792615773191
100% Corpus,6,0.9099999999999999,symmetric,0.3197708207899578
100% Corpus,6,symmetric,0.01,0.35239179119159253
100% Corpus,6,symmetric,0.31,0.3605780711625031
100% Corpus,6,symmetric,0.61,0.40513467583472307
100% Corpus,6,symmetric,0.9099999999999999,0.4271480348869214
100% Corpus,6,symmetric,symmetric,0.36246400331777257
100% Corpus,6,asymmetric,0.01,0.346404312480168
100% Corpus,6,asymmetric,0.31,0.4441339339462244
100% Corpus,6,asymmetric,0.61,0.5487215729109052
100% Corpus,6,asymmetric,0.9099999999999999,0.5751375800977256
100% Corpus,6,asymmetric,symmetric,0.39004376071513497
100% Corpus,7,0.01,0.01,0.33586290985983724
100% Corpus,7,0.01,0.31,0.35851652448511523
100% Corpus,7,0.01,0.61,0.3804569949651308
100% Corpus,7,0.01,0.9099999999999999,0.41773213247018637
100% Corpus,7,0.01,symmetric,0.36746287472061456
100% Corpus,7,0.31,0.01,0.3231916134305667
100% Corpus,7,0.31,0.31,0.32476148621444767
100% Corpus,7,0.31,0.61,0.34462015716396355
100% Corpus,7,0.31,0.9099999999999999,0.39983330674377177
100% Corpus,7,0.31,symmetric,0.3345468092874949
100% Corpus,7,0.61,0.01,0.29957924628722415
100% Corpus,7,0.61,0.31,0.3035588639619917
100% Corpus,7,0.61,0.61,0.3165959192157306
100% Corpus,7,0.61,0.9099999999999999,0.3443327979679288
100% Corpus,7,0.61,symmetric,0.31828351246285785
100% Corpus,7,0.9099999999999999,0.01,0.3133765882574574
100% Corpus,7,0.9099999999999999,0.31,0.31707983006406965
100% Corpus,7,0.9099999999999999,0.61,0.31524733945359573
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.33755276449533345
100% Corpus,7,0.9099999999999999,symmetric,0.30845663267204226
